,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
30,2022-08-21,18:00,Série A,Matchweek 23,Sun,Home,W,1,0,Corinthians,1.0,0.2,36.0,44338.0,Titi,4-4-2,Leandro Pedro Vuaden,Match Report,,13,4,21.3,3.0,0,0,2022,Fortaleza
31,2022-08-28,16:00,Série A,Matchweek 24,Sun,Away,W,1,0,São Paulo,0.2,1.8,30.0,30210.0,Titi,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,,5,1,24.9,0.0,0,0,2022,Fortaleza
32,2022-09-04,16:00,Série A,Matchweek 25,Sun,Home,L,1,3,Botafogo (RJ),1.9,1.6,57.0,54505.0,Titi,4-2-3-1,Ramon Abatti Abel,Match Report,,14,3,19.3,1.0,0,1,2022,Fortaleza
33,2022-09-10,19:00,Série A,Matchweek 26,Sat,Away,L,1,2,Fluminense,1.0,1.3,34.0,26533.0,Titi,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,11,3,16.8,0.0,0,0,2022,Fortaleza
34,2022-09-18,18:00,Série A,Matchweek 27,Sun,Away,D,1,1,Juventude,0.4,1.7,38.0,2144.0,Titi,4-3-3,Dyorgines José Padovani Andrade,Match Report,,11,1,20.8,0.0,0,0,2022,Fortaleza
35,2022-09-28,19:00,Série A,Matchweek 28,Wed,Home,W,3,2,Flamengo,1.4,1.1,28.0,46299.0,Guilherme Tinga,4-3-1-2,Flavio Rodrigues De Souza,Match Report,,20,8,20.0,2.0,0,0,2022,Fortaleza
36,2022-10-01,19:00,Série A,Matchweek 29,Sat,Away,W,1,0,Goiás,1.1,0.7,46.0,9898.0,Guilherme Tinga,4-2-3-1,Raphael Claus,Match Report,,15,4,21.0,0.0,0,0,2022,Fortaleza
37,2022-10-05,19:30,Série A,Matchweek 30,Wed,Away,D,1,1,Atl Paranaense,0.5,1.2,38.0,15646.0,Guilherme Tinga,4-2-3-1,Rafael Rodrigo Klein,Match Report,,9,2,20.1,0.0,0,0,2022,Fortaleza
38,2022-10-09,16:00,Série A,Matchweek 31,Sun,Home,W,2,0,Avaí,1.7,0.6,35.0,40968.0,Guilherme Tinga,4-4-2,Luiz Flávio de Oliveira,Match Report,,16,5,17.5,1.0,0,0,2022,Fortaleza
39,2022-10-15,20:30,Série A,Matchweek 32,Sat,Away,W,2,1,América (MG),1.2,1.7,33.0,2863.0,Guilherme Tinga,4-4-2,Vinicius Gonçalves Dias Araujo,Match Report,,9,4,18.7,1.0,0,0,2022,Fortaleza
40,2022-10-24,20:00,Série A,Matchweek 33,Mon,Home,D,0,0,Atlético Mineiro,0.2,0.7,32.0,,Titi,4-3-3,Raphael Claus,Match Report,,4,0,22.1,1.0,0,0,2022,Fortaleza
41,2022-10-27,19:00,Série A,Matchweek 34,Thu,Home,W,3,1,Coritiba,1.8,1.1,51.0,,Guilherme Tinga,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,13,6,20.9,1.0,0,1,2022,Fortaleza
42,2022-11-02,21:30,Série A,Matchweek 35,Wed,Away,L,0,4,Palmeiras,0.5,2.2,45.0,,Guilherme Tinga,4-2-3-1,Wilton Sampaio,Match Report,,8,3,24.8,0.0,0,0,2022,Fortaleza
43,2022-11-06,16:00,Série A,Matchweek 36,Sun,Home,D,1,1,Atl Goianiense,1.5,1.2,57.0,44810.0,Guilherme Tinga,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,18,6,19.6,2.0,0,0,2022,Fortaleza
44,2022-11-09,20:30,Série A,Matchweek 37,Wed,Home,W,6,0,Bragantino,4.1,0.1,56.0,,Guilherme Tinga,4-2-3-1,Ramon Abatti Abel,Match Report,,24,11,21.3,2.0,1,2,2022,Fortaleza
45,2022-11-13,16:00,Série A,Matchweek 38,Sun,Away,W,2,0,Santos,1.4,1.0,52.0,,Guilherme Tinga,4-4-2,Wagner do Nascimento Magalhães,Match Report,,13,6,17.2,0.0,0,0,2022,Fortaleza
1,2022-04-10,19:00,Série A,Matchweek 1,Sun,Home,W,4,0,Atl Paranaense,1.6,0.3,55.0,20606.0,Jonathan Calleri,4-1-3-2,Wagner do Nascimento Magalhães,Match Report,,18,8,21.1,2.0,0,0,2022,Sao Paulo
3,2022-04-17,16:00,Série A,Matchweek 2,Sun,Away,L,1,3,Flamengo,0.2,2.4,47.0,54686.0,Rafinha,4-1-4-1,Anderson Daronco,Match Report,,6,1,21.4,2.0,0,0,2022,Sao Paulo
4,2022-04-23,16:30,Série A,Matchweek 3,Sat,Away,D,1,1,Bragantino,2.0,2.0,67.0,8040.0,Robert Arboleda,4-3-3,Bruno Arleu de Araujo,Match Report,,24,7,14.7,0.0,0,0,2022,Sao Paulo
6,2022-05-02,20:00,Série A,Matchweek 4,Mon,Home,W,2,1,Santos,1.4,1.3,57.0,36746.0,Rafinha,4-4-2,Leandro Pedro Vuaden,Match Report,,9,2,20.9,1.0,1,1,2022,Sao Paulo
8,2022-05-08,19:00,Série A,Matchweek 5,Sun,Away,D,1,1,Fortaleza,0.3,0.7,46.0,25518.0,Jonathan Calleri,4-1-4-1,Ramon Abatti Abel,Match Report,,4,2,18.1,0.0,0,0,2022,Sao Paulo
9,2022-05-15,16:00,Série A,Matchweek 6,Sun,Home,W,2,1,Cuiabá,2.4,1.1,73.0,27511.0,Rafinha,4-1-2-1-2◆,Alexandre Vargas Tavares de Jesus,Match Report,,20,8,17.2,1.0,1,1,2022,Sao Paulo
11,2022-05-22,16:00,Série A,Matchweek 7,Sun,Away,D,1,1,Corinthians,1.1,0.6,45.0,44672.0,Diego,3-4-3,Wilton Sampaio,Match Report,,14,7,14.8,0.0,0,0,2022,Sao Paulo
13,2022-05-28,19:00,Série A,Matchweek 8,Sat,Home,D,2,2,Ceará,1.0,1.0,51.0,32977.0,Diego,3-4-3,Bruno Arleu de Araujo,Match Report,,15,5,21.4,0.0,0,0,2022,Sao Paulo
14,2022-06-04,19:00,Série A,Matchweek 9,Sat,Away,D,1,1,Avaí,2.2,1.8,47.0,,Diego,3-4-3,Anderson Daronco,Match Report,,14,3,23.7,1.0,1,2,2022,Sao Paulo
15,2022-06-09,20:00,Série A,Matchweek 10,Thu,Away,D,1,1,Coritiba,1.7,0.7,59.0,,Diego,3-1-4-2,Wagner do Nascimento Magalhães,Match Report,,16,4,17.9,0.0,0,0,2022,Sao Paulo
16,2022-06-12,16:00,Série A,Matchweek 11,Sun,Home,W,1,0,América (MG),1.3,1.1,48.0,26847.0,Miranda,3-5-2,Savio Pereira,Match Report,,15,2,17.2,0.0,0,0,2022,Sao Paulo
17,2022-06-16,16:00,Série A,Matchweek 12,Thu,Away,L,0,1,Botafogo (RJ),0.4,1.4,67.0,18677.0,Jonathan Calleri,3-4-1-2,Wilton Sampaio,Match Report,,6,2,19.9,1.0,0,0,2022,Sao Paulo
18,2022-06-20,20:00,Série A,Matchweek 13,Mon,Home,L,1,2,Palmeiras,1.2,1.6,40.0,31055.0,Diego,3-1-4-2,Anderson Daronco,Match Report,,12,3,17.6,1.0,0,0,2022,Sao Paulo
19,2022-06-26,18:00,Série A,Matchweek 14,Sun,Home,D,0,0,Juventude,2.4,0.1,59.0,20466.0,Rafinha,3-1-4-2,André Luiz de Freitas Castro,Match Report,,29,9,17.8,1.0,0,0,2022,Sao Paulo
21,2022-07-03,16:00,Série A,Matchweek 15,Sun,Away,W,2,1,Atl Goianiense,1.7,1.4,47.0,12089.0,Diego,3-4-3,Wagner do Nascimento Magalhães,Match Report,,7,1,16.9,0.0,1,1,2022,Sao Paulo
23,2022-07-10,18:00,Série A,Matchweek 16,Sun,Away,D,0,0,Atlético Mineiro,0.3,0.7,42.0,52356.0,Miranda,3-1-4-2,Anderson Daronco,Match Report,,6,2,20.7,0.0,0,0,2022,Sao Paulo
24,2022-07-17,16:00,Série A,Matchweek 17,Sun,Home,D,2,2,Fluminense,0.8,1.2,38.0,47141.0,Diego,4-4-2,Wilton Sampaio,Match Report,,6,2,14.6,0.0,0,0,2022,Sao Paulo
25,2022-07-20,20:30,Série A,Matchweek 18,Wed,Away,D,3,3,Internacional,1.9,2.5,66.0,32804.0,Rafinha,3-1-4-2,Marcelo de Lima Henrique,Match Report,,8,4,13.1,0.0,0,0,2022,Sao Paulo
26,2022-07-23,19:00,Série A,Matchweek 19,Sat,Home,D,3,3,Goiás,2.4,0.8,63.0,39283.0,Rafinha,4-4-2,Caio Max Augusto Vieira,Match Report,,19,3,17.4,0.0,0,1,2022,Sao Paulo
27,2022-07-31,16:00,Série A,Matchweek 20,Sun,Away,L,0,1,Atl Paranaense,1.4,2.5,60.0,26492.0,Nikão,4-1-3-2,Marcelo de Lima Henrique,Match Report,,12,2,18.5,1.0,0,0,2022,Sao Paulo
29,2022-08-06,20:30,Série A,Matchweek 21,Sat,Home,L,0,2,Flamengo,0.6,1.7,54.0,45217.0,Miranda,4-3-3,Ramon Abatti Abel,Match Report,,13,5,23.2,1.0,0,0,2022,Sao Paulo
31,2022-08-14,16:00,Série A,Matchweek 22,Sun,Home,W,3,0,Bragantino,1.5,0.5,52.0,31358.0,Diego,3-4-1-2,Paulo Cesar Zanovelli da Silva,Match Report,,16,4,15.5,0.0,0,0,2022,Sao Paulo
32,2022-08-21,19:00,Série A,Matchweek 23,Sun,Away,L,0,1,Santos,1.2,1.0,71.0,12598.0,Miranda,3-4-1-2,Wilton Sampaio,Match Report,,18,6,18.3,1.0,0,0,2022,Sao Paulo
33,2022-08-28,16:00,Série A,Matchweek 24,Sun,Home,L,0,1,Fortaleza,1.8,0.2,70.0,30210.0,Diego,3-5-2,Paulo Cesar Zanovelli da Silva,Match Report,,15,8,12.3,0.0,0,0,2022,Sao Paulo
35,2022-09-04,18:00,Série A,Matchweek 25,Sun,Away,D,1,1,Cuiabá,1.2,2.2,66.0,33050.0,Rafinha,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,,10,2,14.3,0.0,0,0,2022,Sao Paulo
37,2022-09-11,16:00,Série A,Matchweek 26,Sun,Home,D,1,1,Corinthians,1.4,1.5,44.0,46444.0,Rafinha,4-2-2-2,Marcelo de Lima Henrique,Match Report,,12,2,21.1,0.0,1,1,2022,Sao Paulo
38,2022-09-18,16:00,Série A,Matchweek 27,Sun,Away,W,2,0,Ceará,2.7,0.5,61.0,43000.0,Diego,4-4-2,Maguielson Lima Barbosa,Match Report,,21,7,16.6,0.0,0,0,2022,Sao Paulo
39,2022-09-25,20:00,Série A,Matchweek 28,Sun,Home,W,4,0,Avaí,1.3,0.3,60.0,36510.0,Diego,4-4-2,Bruno Arleu de Araujo,Match Report,,17,6,17.0,1.0,0,0,2022,Sao Paulo
41,2022-10-06,20:00,Série A,Matchweek 30,Thu,Away,W,2,1,América (MG),1.8,1.0,67.0,3916.0,Rafinha,3-4-1-2,Ramon Abatti Abel,Match Report,,18,4,15.4,0.0,0,0,2022,Sao Paulo
42,2022-10-09,16:00,Série A,Matchweek 31,Sun,Home,L,0,1,Botafogo (RJ),0.7,1.1,66.0,23918.0,Rafinha,3-4-1-2,Jean Pierre Goncalves Lima,Match Report,,8,2,17.1,0.0,0,0,2022,Sao Paulo
43,2022-10-16,16:00,Série A,Matchweek 32,Sun,Away,D,0,0,Palmeiras,0.4,2.0,44.0,40795.0,Jonathan Calleri,3-4-1-2,Flavio Rodrigues De Souza,Match Report,,5,1,17.4,0.0,0,0,2022,Sao Paulo
44,2022-10-20,20:00,Série A,Matchweek 29,Thu,Home,W,3,1,Coritiba,2.3,0.7,60.0,,Rafinha,3-5-2,Flavio Rodrigues De Souza,Match Report,,19,7,16.6,0.0,0,0,2022,Sao Paulo
45,2022-10-23,16:00,Série A,Matchweek 33,Sun,Away,W,2,1,Juventude,0.8,0.7,59.0,,Rafinha,3-5-2,Paulo Roberto Alves Júnior,Match Report,,13,6,18.7,0.0,0,0,2022,Sao Paulo
46,2022-10-27,19:00,Série A,Matchweek 34,Thu,Home,W,2,1,Atl Goianiense,0.8,1.4,53.0,,Rafinha,3-5-2,Bruno Arleu de Araujo,Match Report,,13,2,19.3,0.0,0,0,2022,Sao Paulo
47,2022-11-01,21:30,Série A,Matchweek 35,Tue,Home,D,2,2,Atlético Mineiro,0.8,1.5,46.0,,Rafinha,3-5-2,Braulio da Silva Machado,Match Report,,12,4,16.5,0.0,0,0,2022,Sao Paulo
48,2022-11-05,16:30,Série A,Matchweek 36,Sat,Away,L,1,3,Fluminense,0.5,1.7,35.0,,Rafinha,3-1-4-2,Anderson Daronco,Match Report,,8,4,19.3,0.0,0,0,2022,Sao Paulo
49,2022-11-08,21:30,Série A,Matchweek 37,Tue,Home,L,0,1,Internacional,0.6,0.7,59.0,19692.0,Jonathan Calleri,3-4-1-2,Wagner do Nascimento Magalhães,Match Report,,10,1,19.9,1.0,0,0,2022,Sao Paulo
50,2022-11-13,16:00,Série A,Matchweek 38,Sun,Away,W,4,0,Goiás,1.7,0.2,64.0,,Rafinha,4-1-2-1-2◆,Marcelo de Lima Henrique,Match Report,,13,7,15.1,0.0,0,0,2022,Sao Paulo
5,2022-04-10,19:00,Série A,Matchweek 1,Sun,Away,L,0,1,Avaí,0.3,1.0,42.0,5081.0,Juninho,4-1-4-1,Luiz Flávio de Oliveira,Match Report,,7,1,24.4,0.0,0,0,2022,America MG
7,2022-04-16,19:00,Série A,Matchweek 2,Sat,Home,W,4,1,Juventude,1.5,0.9,46.0,1559.0,Juninho,4-1-4-1,Ramon Abatti Abel,Match Report,,21,8,24.1,1.0,1,1,2022,America MG
8,2022-04-24,16:00,Série A,Matchweek 3,Sun,Away,L,0,3,Santos,0.9,2.2,61.0,10374.0,Juninho,4-1-4-1,Wilton Sampaio,Match Report,,19,2,23.2,1.0,0,0,2022,America MG
10,2022-04-30,16:30,Série A,Matchweek 4,Sat,Home,W,1,0,Atl Paranaense,0.5,1.1,47.0,2433.0,Juninho,4-1-4-1,Jefferson Ferreira de Moraes,Match Report,,7,3,19.8,0.0,0,0,2022,America MG
12,2022-05-07,16:30,Série A,Matchweek 5,Sat,Away,W,2,1,Atlético Mineiro,2.0,2.5,32.0,14629.0,Juninho,4-1-4-1,Wilton Sampaio,Match Report,,11,8,20.1,0.0,1,1,2022,America MG
13,2022-05-15,17:30,Série A,Matchweek 6,Sun,Away,L,0,1,Coritiba,0.4,0.9,42.0,19040.0,Patric Cabral Lalau,3-1-4-2,Bruno Arleu de Araujo,Match Report,,9,2,20.1,0.0,0,0,2022,America MG
15,2022-05-21,21:00,Série A,Matchweek 7,Sat,Home,D,1,1,Botafogo (RJ),0.9,0.6,43.0,4236.0,Felipe Azevedo,4-4-2,Raphael Claus,Match Report,,12,4,19.1,0.0,0,0,2022,America MG
17,2022-05-29,18:00,Série A,Matchweek 8,Sun,Away,D,1,1,Corinthians,1.4,0.8,38.0,34922.0,Juninho,4-1-4-1,Anderson Daronco,Match Report,,13,5,20.8,1.0,0,0,2022,America MG
18,2022-06-04,16:30,Série A,Matchweek 9,Sat,Home,W,2,1,Cuiabá,0.8,0.4,51.0,2720.0,Juninho,4-1-4-1,Raphael Claus,Match Report,,16,6,19.7,0.0,0,0,2022,America MG
19,2022-06-08,19:00,Série A,Matchweek 10,Wed,Home,L,0,2,Ceará,0.7,1.3,57.0,2132.0,Juninho,4-1-4-1,Douglas Marques das Flores,Match Report,,16,3,20.6,1.0,0,0,2022,America MG
20,2022-06-12,16:00,Série A,Matchweek 11,Sun,Away,L,0,1,São Paulo,1.1,1.3,52.0,26847.0,Juninho,4-1-4-1,Savio Pereira,Match Report,,11,5,14.6,0.0,0,0,2022,America MG
21,2022-06-15,21:30,Série A,Matchweek 12,Wed,Home,D,0,0,Fluminense,1.0,1.3,22.0,2599.0,Juninho,4-1-4-1,Anderson Daronco,Match Report,,9,3,16.5,0.0,0,0,2022,America MG
22,2022-06-19,18:00,Série A,Matchweek 13,Sun,Away,L,0,1,Fortaleza,1.1,1.8,50.0,17709.0,Juninho,4-1-4-1,Leandro Pedro Vuaden,Match Report,,14,4,20.4,0.0,0,0,2022,America MG
23,2022-06-25,19:00,Série A,Matchweek 14,Sat,Away,L,0,3,Flamengo,0.9,4.1,47.0,42931.0,Juninho,4-1-4-1,Ramon Abatti Abel,Match Report,,15,5,23.5,0.0,0,0,2022,America MG
24,2022-07-03,18:00,Série A,Matchweek 15,Sun,Home,W,1,0,Goiás,1.4,1.1,53.0,2339.0,Juninho,4-1-4-1,Caio Max Augusto Vieira,Match Report,,21,5,18.0,0.0,0,0,2022,America MG
25,2022-07-11,20:00,Série A,Matchweek 16,Mon,Away,L,0,1,Internacional,0.5,1.8,33.0,19023.0,Juninho,4-1-4-1,Flavio Rodrigues De Souza,Match Report,,9,7,17.7,0.0,0,0,2022,America MG
26,2022-07-17,19:00,Série A,Matchweek 17,Sun,Home,L,0,3,Bragantino,1.0,2.4,56.0,1920.0,Juninho,4-1-4-1,Wagner do Nascimento Magalhães,Match Report,,25,4,19.0,0.0,0,0,2022,America MG
27,2022-07-21,20:00,Série A,Matchweek 18,Thu,Home,L,0,1,Palmeiras,2.0,1.4,48.0,6462.0,Juninho,4-3-3,Braulio da Silva Machado,Match Report,,15,3,16.8,0.0,0,0,2022,America MG
28,2022-07-24,18:00,Série A,Matchweek 19,Sun,Away,W,1,0,Atl Goianiense,0.7,1.7,36.0,5098.0,Juninho,4-1-4-1,Jean Pierre Goncalves Lima,Match Report,,10,3,21.3,0.0,0,0,2022,America MG
29,2022-07-31,18:00,Série A,Matchweek 20,Sun,Home,W,3,1,Avaí,2.2,0.8,48.0,2215.0,Juninho,4-3-3,Vinicius Gonçalves Dias Araujo,Match Report,,18,6,16.3,2.0,0,0,2022,America MG
30,2022-08-06,16:30,Série A,Matchweek 21,Sat,Away,W,1,0,Juventude,0.8,1.1,35.0,3524.0,Juninho,4-3-3,Edina Alves Batista,Match Report,,10,4,24.3,1.0,0,0,2022,America MG
31,2022-08-14,18:00,Série A,Matchweek 22,Sun,Home,W,1,0,Santos,0.6,0.3,40.0,2978.0,Juninho,4-3-3,Paulo Roberto Alves Júnior,Match Report,,16,5,20.2,0.0,0,0,2022,America MG
32,2022-08-21,18:00,Série A,Matchweek 23,Sun,Away,D,1,1,Atl Paranaense,0.9,1.5,42.0,15023.0,Juninho,4-3-3,Savio Pereira,Match Report,,12,3,17.5,0.0,0,0,2022,America MG
33,2022-08-28,16:00,Série A,Matchweek 24,Sun,Home,D,1,1,Atlético Mineiro,1.2,0.6,44.0,7016.0,Juninho,4-3-3,Ramon Abatti Abel,Match Report,,8,4,16.9,0.0,0,1,2022,America MG
34,2022-09-03,20:30,Série A,Matchweek 25,Sat,Home,W,2,0,Coritiba,2.0,0.7,51.0,2840.0,Eder,4-3-3,Dyorgines José Padovani Andrade,Match Report,,25,10,17.9,0.0,0,0,2022,America MG
35,2022-09-11,11:00,Série A,Matchweek 26,Sun,Away,D,0,0,Botafogo (RJ),0.6,1.1,53.0,32285.0,Juninho,4-3-3,Jose Mendonca da Silva Junior,Match Report,,12,2,19.6,0.0,0,0,2022,America MG
36,2022-09-18,18:00,Série A,Matchweek 27,Sun,Home,W,1,0,Corinthians,1.2,0.7,46.0,6416.0,Juninho,4-2-3-1,Bruno Arleu de Araujo,Match Report,,16,7,20.6,1.0,0,0,2022,America MG
37,2022-09-28,20:00,Série A,Matchweek 28,Wed,Away,L,1,2,Cuiabá,2.7,0.5,58.0,3364.0,Juninho,4-1-4-1,Dyorgines José Padovani Andrade,Match Report,,17,7,17.5,0.0,0,1,2022,America MG
38,2022-10-01,15:00,Série A,Matchweek 29,Sat,Away,W,2,1,Ceará,1.3,1.8,39.0,13976.0,Juninho,4-3-3,Edina Alves Batista,Match Report,,10,4,18.5,1.0,0,0,2022,America MG
39,2022-10-06,20:00,Série A,Matchweek 30,Thu,Home,L,1,2,São Paulo,1.0,1.8,33.0,3916.0,Juninho,4-3-3,Ramon Abatti Abel,Match Report,,13,4,17.7,0.0,0,0,2022,America MG
40,2022-10-09,18:00,Série A,Matchweek 31,Sun,Away,W,2,0,Fluminense,1.7,1.0,38.0,23324.0,Juninho,4-3-3,Leandro Pedro Vuaden,Match Report,,18,8,15.4,0.0,0,0,2022,America MG
41,2022-10-15,20:30,Série A,Matchweek 32,Sat,Home,L,1,2,Fortaleza,1.7,1.2,67.0,2863.0,Juninho,4-1-4-1,Vinicius Gonçalves Dias Araujo,Match Report,,18,6,19.4,0.0,1,1,2022,America MG
42,2022-10-22,19:00,Série A,Matchweek 33,Sat,Home,L,1,2,Flamengo,0.8,1.2,47.0,,Juninho,4-1-4-1,Jean Pierre Goncalves Lima,Match Report,,9,3,20.4,1.0,0,0,2022,America MG
43,2022-10-26,21:45,Série A,Matchweek 34,Wed,Away,D,2,2,Goiás,1.6,0.8,54.0,7274.0,Juninho,4-1-4-1,Wagner do Nascimento Magalhães,Match Report,,15,4,22.2,0.0,1,1,2022,America MG
44,2022-11-02,16:00,Série A,Matchweek 35,Wed,Home,W,1,0,Internacional,1.3,1.2,51.0,,Juninho,4-1-4-1,Bruno Arleu de Araujo,Match Report,,20,6,17.8,0.0,0,0,2022,America MG
45,2022-11-05,19:00,Série A,Matchweek 36,Sat,Away,W,4,1,Bragantino,2.6,2.0,42.0,,Juninho,4-1-4-1,Marcelo de Lima Henrique,Match Report,,12,7,17.4,0.0,1,1,2022,America MG
46,2022-11-09,21:30,Série A,Matchweek 37,Wed,Away,L,1,2,Palmeiras,0.3,2.6,43.0,,Juninho,4-1-4-1,Savio Pereira,Match Report,,6,2,21.3,1.0,0,0,2022,America MG
47,2022-11-13,16:00,Série A,Matchweek 38,Sun,Home,D,1,1,Atl Goianiense,2.1,0.5,59.0,,Juninho,4-3-3,Leandro Pedro Vuaden,Match Report,,36,9,17.9,0.0,0,0,2022,America MG
0,2022-04-10,16:00,Série A,Matchweek 1,Sun,Home,L,1,3,Corinthians,1.5,2.1,56.0,36898.0,Kanu,4-3-3,Wilton Sampaio,Match Report,,8,3,24.6,1.0,1,1,2022,Botafogo RJ
1,2022-04-17,19:00,Série A,Matchweek 2,Sun,Away,W,3,1,Ceará,1.6,1.2,35.0,33734.0,Kanu,4-2-3-1,Raphael Claus,Match Report,,10,2,22.6,0.0,1,1,2022,Botafogo RJ
2,2022-04-24,18:30,Série A,Matchweek 3,Sun,Away,D,1,1,Atl Goianiense,0.8,1.0,62.0,4427.0,Kanu,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,17,2,21.0,1.0,0,0,2022,Botafogo RJ
3,2022-05-01,11:00,Série A,Matchweek 4,Sun,Home,D,1,1,Juventude,2.0,0.6,59.0,34734.0,Gatito Fernández,4-2-3-1,Braulio da Silva Machado,Match Report,,16,3,19.4,0.0,1,1,2022,Botafogo RJ
4,2022-05-08,11:00,Série A,Matchweek 5,Sun,Away,W,1,0,Flamengo,0.8,1.7,47.0,54981.0,Kanu,4-2-3-1,Anderson Daronco,Match Report,,13,8,19.1,0.0,0,0,2022,Botafogo RJ
5,2022-05-15,18:00,Série A,Matchweek 6,Sun,Home,W,3,1,Fortaleza,1.3,1.3,62.0,23616.0,Kanu,4-2-3-1,Jefferson Ferreira de Moraes,Match Report,,13,6,17.6,1.0,0,0,2022,Botafogo RJ
6,2022-05-21,21:00,Série A,Matchweek 7,Sat,Away,D,1,1,América (MG),0.6,0.9,57.0,4236.0,Kanu,4-2-3-1,Raphael Claus,Match Report,,8,5,18.8,1.0,0,0,2022,Botafogo RJ
7,2022-05-29,16:00,Série A,Matchweek 8,Sun,Away,L,0,1,Coritiba,1.2,2.5,72.0,20302.0,Kanu,4-2-3-1,Braulio da Silva Machado,Match Report,,18,3,20.7,1.0,0,0,2022,Botafogo RJ
8,2022-06-06,20:00,Série A,Matchweek 9,Mon,Home,L,1,2,Goiás,0.6,1.9,62.0,30954.0,Kanu,4-3-3,Paulo Henrique Schleinch Vollkopf,Match Report,,16,5,21.7,1.0,0,0,2022,Botafogo RJ
9,2022-06-09,19:00,Série A,Matchweek 10,Thu,Away,L,0,4,Palmeiras,0.8,2.7,53.0,33431.0,Kanu,4-1-4-1,Anderson Daronco,Match Report,,12,3,24.2,1.0,0,0,2022,Botafogo RJ
10,2022-06-13,19:00,Série A,Matchweek 11,Mon,Home,L,0,1,Avaí,1.6,0.3,51.0,12627.0,Kanu,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,22,7,18.9,1.0,0,0,2022,Botafogo RJ
11,2022-06-16,16:00,Série A,Matchweek 12,Thu,Home,W,1,0,São Paulo,1.4,0.4,33.0,18677.0,Joel Carli,3-4-3,Wilton Sampaio,Match Report,,17,3,23.9,0.0,0,0,2022,Botafogo RJ
12,2022-06-19,18:00,Série A,Matchweek 13,Sun,Away,W,3,2,Internacional,1.5,3.1,23.0,26219.0,Joel Carli,3-4-3,Savio Pereira,Match Report,,10,6,19.8,0.0,0,0,2022,Botafogo RJ
13,2022-06-26,16:00,Série A,Matchweek 14,Sun,Home,L,0,1,Fluminense,0.7,0.8,21.0,29791.0,Joel Carli,3-4-3,Anderson Daronco,Match Report,,9,1,19.6,0.0,0,0,2022,Botafogo RJ
14,2022-07-04,20:00,Série A,Matchweek 15,Mon,Away,W,1,0,Bragantino,1.3,1.4,36.0,4509.0,Kanu,3-4-1-2,Ramon Abatti Abel,Match Report,,9,1,28.0,0.0,0,0,2022,Botafogo RJ
15,2022-07-10,18:00,Série A,Matchweek 16,Sun,Away,L,0,2,Cuiabá,0.2,1.2,53.0,14719.0,Joel Carli,3-4-3,Jefferson Ferreira de Moraes,Match Report,,6,2,19.2,0.0,0,0,2022,Botafogo RJ
16,2022-07-17,18:00,Série A,Matchweek 17,Sun,Home,L,0,1,Atlético Mineiro,0.9,1.6,38.0,8678.0,Kanu,4-2-3-1,Raphael Claus,Match Report,,14,2,22.5,2.0,0,0,2022,Botafogo RJ
17,2022-07-20,21:30,Série A,Matchweek 18,Wed,Away,L,0,2,Santos,1.4,1.8,64.0,8453.0,Kanu,4-2-3-1,Ramon Abatti Abel,Match Report,,23,10,21.0,1.0,0,0,2022,Botafogo RJ
18,2022-07-23,21:00,Série A,Matchweek 19,Sat,Home,W,2,0,Atl Paranaense,0.8,0.9,53.0,8105.0,Gatito Fernández,4-2-3-1,Anderson Daronco,Match Report,,17,6,19.9,0.0,0,0,2022,Botafogo RJ
19,2022-07-30,19:00,Série A,Matchweek 20,Sat,Away,L,0,1,Corinthians,0.6,1.4,50.0,42632.0,Gatito Fernández,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,,10,3,22.3,0.0,0,0,2022,Botafogo RJ
20,2022-08-06,16:30,Série A,Matchweek 21,Sat,Home,D,1,1,Ceará,0.6,2.2,40.0,21657.0,Gatito Fernández,4-2-3-1,Raphael Claus,Match Report,,11,4,24.0,0.0,0,0,2022,Botafogo RJ
21,2022-08-13,21:00,Série A,Matchweek 22,Sat,Home,D,0,0,Atl Goianiense,0.8,0.7,54.0,12230.0,Gatito Fernández,4-2-3-1,Edina Alves Batista,Match Report,,14,5,19.5,1.0,0,0,2022,Botafogo RJ
22,2022-08-21,11:00,Série A,Matchweek 23,Sun,Away,D,2,2,Juventude,2.4,0.6,64.0,3095.0,Gatito Fernández,4-2-3-1,Raphael Claus,Match Report,,19,9,18.0,0.0,0,0,2022,Botafogo RJ
23,2022-08-28,18:00,Série A,Matchweek 24,Sun,Home,L,0,1,Flamengo,0.5,0.9,46.0,14442.0,Gatito Fernández,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,14,4,22.6,0.0,0,0,2022,Botafogo RJ
